City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,yemetsk,63.4721,41.7941,-5.74,94,100,3.37,RU,1701204144
298,verkhnevilyuysk,63.4453,120.3167,-19.32,93,40,3.84,RU,1701204145
299,businga,3.3333,20.8833,21.54,99,100,0.61,CD,1701204146
300,ketchikan,55.3422,-131.6461,7.26,76,20,3.09,US,1701204148
301,kirando,-7.4167,30.6,22.34,81,96,3.08,TZ,1701204149
302,pacific grove,36.6177,-121.9166,19.38,51,0,6.71,US,1701204150
303,urucurituba,-2.6833,-57.6667,29.97,60,100,0.44,BR,1701204152
304,lihue,21.9789,-159.3672,21.77,88,100,4.12,US,1701204155
305,nagqu,31.5,92.0,-5.55,65,100,0.74,CN,1701204156
306,ecoporanga,-18.3733,-40.8306,28.3,54,95,4.1,BR,1701204157
307,fort bragg,35.139,-79.006,11.91,32,0,6.17,US,1701204159
308,bodden town,19.2833,-81.25,30.0,75,20,5.66,KY,1701204160
309,alpine,32.835,-116.7664,22.2,28,0,2.68,US,1701204161
310,tezu,27.9167,96.1667,16.97,46,69,1.79,IN,1701204163
311,huilong,31.8111,121.655,13.2,73,98,4.43,CN,1701204164
312,lazaro cardenas,17.9583,-102.2,29.59,66,82,3.6,MX,1701204167
313,corozal,9.3151,-75.2928,30.84,67,31,1.66,CO,1701204168
314,mersa matruh,31.3525,27.2453,14.11,54,0,3.09,EG,1701204169
315,la ronge,55.1001,-105.2842,3.14,56,20,8.75,CA,1701204170
316,turbat,26.0023,63.044,21.82,65,5,1.22,PK,1701204172
317,kavieng,-2.5744,150.7967,27.8,79,96,2.7,PG,1701204173
318,portland,45.5234,-122.6762,9.27,58,20,5.66,US,1701204174
319,porto murtinho,-21.6989,-57.8825,34.0,45,74,1.58,BR,1701204176
320,sinan,34.8262,126.1086,2.06,68,76,3.94,KR,1701204177
321,al hazm,16.1641,44.7769,20.5,32,1,0.55,YE,1701204179
322,isla vista,34.4133,-119.861,23.33,31,0,2.57,US,1701204180
323,kapuskasing,49.4169,-82.4331,-11.0,73,100,4.63,CA,1701204181
324,torre de moncorvo,41.1792,-7.0358,13.17,94,99,2.02,PT,1701204182
325,youghal,51.95,-7.8506,6.56,98,97,2.37,IE,1701204184
326,kasane,-17.8167,25.15,25.81,42,89,3.01,BW,1701204185
327,coracao de jesus,-16.6853,-44.365,28.71,40,58,2.12,BR,1701204186
328,bamboo flat,11.7,92.7167,28.05,78,75,3.6,IN,1701204188
329,kolosovka,56.4678,73.611,-5.03,85,100,4.59,RU,1701204190
330,santo tome,-31.6627,-60.7653,32.22,57,10,4.47,AR,1701204192
331,swakopmund,-22.6833,14.5333,17.21,83,42,1.34,NA,1701204004
332,moe,-38.1667,146.2667,15.91,99,100,3.48,AU,1701204194
333,labasa,-16.4167,179.3833,29.98,66,7,2.88,FJ,1701204196
334,candido mendes,-1.4467,-45.7167,27.0,76,19,2.97,BR,1701204197
335,tandil,-37.3217,-59.1332,31.92,29,98,6.14,AR,1701204198
336,east london,-33.0153,27.9116,19.82,76,100,9.43,ZA,1701204200
337,sao raimundo nonato,-9.0153,-42.6994,30.08,40,83,2.2,BR,1701204201
338,borshchiv,48.8033,26.0435,-0.54,92,100,2.31,UA,1701204202
339,ar ruseris,11.8659,34.3869,28.97,29,4,2.22,SD,1701204204
340,sergeyevka,53.88,67.4158,-0.89,86,100,4.32,KZ,1701204205
341,kolokani,13.5728,-8.0339,26.07,21,0,3.89,ML,1701204206
342,cidreira,-30.1811,-50.2056,19.41,92,100,9.66,BR,1701204208
343,tadine,-21.55,167.8833,23.66,76,100,5.42,NC,1701204210
344,alofi,-19.0595,-169.9187,26.94,74,75,4.63,NU,1701204195
345,thompson,55.7435,-97.8558,-11.91,85,75,0.0,CA,1701204213
346,polyarnyy,69.1989,33.4478,-2.42,86,96,7.43,RU,1701204214
347,tazovsky,67.4667,78.7,-15.33,95,100,3.74,RU,1701204217
348,muisne,0.6,-80.0333,25.65,78,78,6.63,EC,1701204218
349,nogliki,51.8333,143.1667,-14.81,79,100,4.02,RU,1701204220
350,balkanabat,39.5108,54.3671,8.72,72,1,1.04,TM,1701204221
351,kidal,18.4411,1.4078,25.21,12,0,4.35,ML,1701204222
352,forio,40.7342,13.8646,15.85,81,77,1.79,IT,1701204224
353,ampere,-25.915,-53.4728,23.34,89,69,1.87,BR,1701204225
354,petawawa,45.9001,-77.3328,-5.79,67,75,6.17,CA,1701204226
355,issia,6.4922,-6.5856,23.85,88,53,1.73,CI,1701204228
356,auki,-8.7676,160.7034,26.97,83,95,0.7,SB,1701204229
357,iquique,-20.2208,-70.1431,22.02,70,8,4.34,CL,1701204230
358,alaior,39.9303,4.1404,11.86,82,20,3.09,ES,1701204232
359,bissora,12.2231,-15.4475,26.04,60,9,2.79,GW,1701204233
360,sidney,-33.8679,151.2073,20.91,86,100,3.13,AU,1701204005
361,constantia,44.1833,28.65,10.39,88,100,13.07,RO,1701204208
362,korla,41.7597,86.1469,3.85,41,100,2.58,CN,1701204237
